episode,reward,moving_avg_50
1,-1.0,-1.0
2,0.0,-0.5
3,6.0,1.6666666666666667
4,0.0,1.25
5,-2.0,0.6
6,6.0,1.5
7,-1.5,1.0714285714285714
8,2.0,1.1875
9,-0.5,1.0
10,1.0,1.0
11,4.0,1.2727272727272727
12,3.0,1.4166666666666667
13,3.0,1.5384615384615385
14,-2.5,1.25
15,2.0,1.3
16,1.0,1.28125
17,3.0,1.3823529411764706
18,2.0,1.4166666666666667
19,5.0,1.605263157894737
20,4.0,1.725
21,4.0,1.8333333333333333
22,5.0,1.9772727272727273
23,3.0,2.0217391304347827
24,2.0,2.0208333333333335
25,4.0,2.1
26,4.0,2.173076923076923
27,3.0,2.2037037037037037
28,4.0,2.267857142857143
29,5.0,2.3620689655172415
30,2.0,2.35
31,-1.5,2.225806451612903
32,2.0,2.21875
33,3.0,2.242424242424242
34,4.0,2.2941176470588234
35,4.0,2.342857142857143
36,3.0,2.361111111111111
37,1.0,2.324324324324324
38,5.0,2.3947368421052633
39,4.0,2.4358974358974357
40,6.0,2.525
41,3.0,2.5365853658536586
42,4.0,2.5714285714285716
43,1.0,2.5348837209302326
44,1.0,2.5
45,2.0,2.488888888888889
46,2.0,2.4782608695652173
47,3.0,2.4893617021276597
48,3.0,2.5
49,4.0,2.5306122448979593
50,5.0,2.58
51,3.0,2.66
52,1.0,2.68
53,-1.0,2.54
54,0.0,2.54
55,2.0,2.62
56,3.0,2.56
57,2.0,2.63
58,3.0,2.65
59,-2.0,2.62
60,3.0,2.66
61,0.0,2.58
62,2.0,2.56
63,1.0,2.52
64,2.0,2.61
65,2.0,2.61
66,1.0,2.61
67,-0.5,2.54
68,3.0,2.56
69,6.0,2.58
70,1.0,2.52
71,4.0,2.52
72,3.0,2.48
73,-2.0,2.38
74,-1.0,2.32
75,3.0,2.3
76,4.0,2.3
77,3.0,2.3
78,2.0,2.26
79,-1.0,2.14
80,2.0,2.14
81,1.0,2.19
82,2.0,2.19
83,5.0,2.23
84,4.0,2.23
85,-2.5,2.1
86,1.0,2.06
87,2.0,2.08
88,3.0,2.04
89,4.0,2.04
90,2.0,1.96
91,1.0,1.92
92,3.0,1.9
93,5.0,1.98
94,2.0,2.0
95,3.0,2.02
96,1.0,2.0
97,1.0,1.96
98,3.0,1.96
99,-2.5,1.83
100,1.0,1.75
101,5.0,1.79
102,-1.5,1.74
103,1.0,1.78
104,3.0,1.84
105,0.0,1.8
106,3.0,1.8
107,4.0,1.84
108,5.0,1.88
109,1.0,1.94
110,1.0,1.9
111,4.0,1.98
112,3.0,2.0
113,1.0,2.0
